study_slug,testament,book,chapter,study_passages,occasion_count,distinct_collection_types,distinct_seasons,max_occurrence_count,has_pascha,has_major_feast,has_inferred_only,has_removed_historical
1-chronicles-28-29-davids-final-charge-offering-prayer-and-solomons-accession,Old Testament,1 Chronicles,28,1 Chronicles 28; 1 Chronicles 29,1,0,1,1,true,false,true,false
1-kings-01-02-succession-and-the-kingdom-established,Old Testament,1 Kings,1,1 Kings 1; 1 Kings 2,0,0,0,0,false,false,false,false
1-kings-03-04-wisdom-for-the-kingdom,Old Testament,1 Kings,3,1 Kings 3; 1 Kings 4,0,0,0,0,false,false,false,false
1-kings-05-07-building-the-temple,Old Testament,1 Kings,5,1 Kings 5; 1 Kings 6; 1 Kings 7,0,0,0,0,false,false,false,false
1-kings-08-the-dedication-of-the-temple,Old Testament,1 Kings,8,1 Kings 8,1,0,1,1,true,false,true,false
1-kings-09-10-glory-wisdom-and-early-warnings,Old Testament,1 Kings,9,1 Kings 9; 1 Kings 10,0,0,0,0,false,false,false,false
1-kings-11-solomon-s-divided-heart,Old Testament,1 Kings,11,1 Kings 11,0,0,0,0,false,false,false,false
1-kings-12-the-kingdom-divides,Old Testament,1 Kings,12,1 Kings 12,0,0,0,0,false,false,false,false
1-kings-13-the-man-of-god-from-judah,Old Testament,1 Kings,13,1 Kings 13,0,0,0,0,false,false,false,false
1-kings-14-16-the-downward-spiral-of-divided-kings,Old Testament,1 Kings,14,1 Kings 14; 1 Kings 15; 1 Kings 16,0,0,0,0,false,false,false,false
1-kings-17-elijah-in-hiddenness,Old Testament,1 Kings,17,1 Kings 17,2,0,2,1,false,false,true,false
1-kings-19-elijah-in-despair-and-the-still-small-voice,Old Testament,1 Kings,19,1 Kings 19,1,0,1,1,true,false,true,true
1-kings-20-ahab-and-ben-hadad,Old Testament,1 Kings,20,1 Kings 20,0,0,0,0,false,false,false,false
1-kings-21-naboth-s-vineyard,Old Testament,1 Kings,21,1 Kings 21,0,0,0,0,false,false,false,false
1-kings-22-micaiah-false-prophets-and-ahab-s-death,Old Testament,1 Kings,22,1 Kings 22,0,0,0,0,false,false,false,false
1-maccabees-1-canon-crisis-and-the-abomination-of-desolation,Deuterocanonical,1 Maccabees,1,1 Maccabees 1,0,0,0,0,false,false,false,false
1-maccabees-10-jonathan-and-the-dangerous-gift-of-power,Deuterocanonical,1 Maccabees,10,1 Maccabees 10,0,0,0,0,false,false,false,false
1-maccabees-11-shifting-kings-and-unstable-promises,Deuterocanonical,1 Maccabees,11,1 Maccabees 11,0,0,0,0,false,false,false,false
1-maccabees-12-diplomacy-brotherhood-and-betrayal,Deuterocanonical,1 Maccabees,12,1 Maccabees 12,0,0,0,0,false,false,false,false
1-maccabees-13-simon-and-the-restoration-of-the-people,Deuterocanonical,1 Maccabees,13,1 Maccabees 13,0,0,0,0,false,false,false,false
1-maccabees-14-peace-until-a-faithful-prophet-should-arise,Deuterocanonical,1 Maccabees,14,1 Maccabees 14,0,0,0,0,false,false,false,false
1-maccabees-15-recognition-resistance-and-fragile-freedom,Deuterocanonical,1 Maccabees,15,1 Maccabees 15,0,0,0,0,false,false,false,false
1-maccabees-16-an-unfinished-deliverance,Deuterocanonical,1 Maccabees,16,1 Maccabees 16,0,0,0,0,false,false,false,false
1-maccabees-2-mattathias-and-holy-refusal,Deuterocanonical,1 Maccabees,2,1 Maccabees 2,0,0,0,0,false,false,false,false
1-maccabees-3-judas-the-hammer-and-courage-from-heaven,Deuterocanonical,1 Maccabees,3,1 Maccabees 3,0,0,0,0,false,false,false,false
1-maccabees-4-the-cleansing-of-the-temple,Deuterocanonical,1 Maccabees,4,1 Maccabees 4,0,0,0,0,false,false,false,false
1-maccabees-5-defending-the-scattered-faithful,Deuterocanonical,1 Maccabees,5,1 Maccabees 5,0,0,0,0,false,false,false,false
1-maccabees-6-victory-death-and-the-limits-of-power,Deuterocanonical,1 Maccabees,6,1 Maccabees 6,0,0,0,0,false,false,false,false
1-maccabees-7-false-priesthood-and-false-peace,Deuterocanonical,1 Maccabees,7,1 Maccabees 7,0,0,0,0,false,false,false,false
1-maccabees-8-rome-and-the-temptation-of-security,Deuterocanonical,1 Maccabees,8,1 Maccabees 8,0,0,0,0,false,false,false,false
1-maccabees-9-the-death-of-judas-and-the-burden-of-succession,Deuterocanonical,1 Maccabees,9,1 Maccabees 9,0,0,0,0,false,false,false,false
1-samuel-1-2-hannah-samuel-and-the-corruption-of-eli-s-house,Old Testament,1 Samuel,1,1 Samuel 1; 1 Samuel 2,2,0,2,1,true,false,true,false
1-samuel-11-12-saul-s-victory-and-samuel-s-covenant-witness,Old Testament,1 Samuel,11,1 Samuel 11; 1 Samuel 12,0,0,0,0,false,false,false,false
1-samuel-13-15-saul-s-disobedience-and-rejection,Old Testament,1 Samuel,13,1 Samuel 13; 1 Samuel 14; 1 Samuel 15,0,0,0,0,false,false,false,false
1-samuel-16-david-anointed-in-secret,Old Testament,1 Samuel,16,1 Samuel 16,0,0,0,0,false,false,false,false
1-samuel-17-18-david-and-goliath-victory-and-jealousy,Old Testament,1 Samuel,17,1 Samuel 17; 1 Samuel 18,1,0,1,1,false,false,true,false
1-samuel-19-20-friendship-under-persecution,Old Testament,1 Samuel,19,1 Samuel 19; 1 Samuel 20,0,0,0,0,false,false,false,false
1-samuel-21-22-holy-bread-nob-and-the-cost-of-fear,Old Testament,1 Samuel,21,1 Samuel 21; 1 Samuel 22,0,0,0,0,false,false,false,false
1-samuel-23-24-wilderness-discernment-and-mercy-toward-saul,Old Testament,1 Samuel,23,1 Samuel 23; 1 Samuel 24,1,0,1,1,false,false,true,false
1-samuel-25-abigail-and-the-restraint-of-david,Old Testament,1 Samuel,25,1 Samuel 25,0,0,0,0,false,false,false,false
1-samuel-26-27-mercy-repeated-and-david-among-the-philistines,Old Testament,1 Samuel,26,1 Samuel 26; 1 Samuel 27,0,0,0,0,false,false,false,false
1-samuel-28-saul-and-the-medium-at-endor,Old Testament,1 Samuel,28,1 Samuel 28,0,0,0,0,false,false,false,false
1-samuel-29-31-david-preserved-and-saul-falls,Old Testament,1 Samuel,29,1 Samuel 29; 1 Samuel 30; 1 Samuel 31,0,0,0,0,false,false,false,false
1-samuel-3-speak-lord-your-servant-hears,Old Testament,1 Samuel,3,1 Samuel 3,1,0,1,1,false,false,true,false
1-samuel-4-7-the-ark-captured-returned-and-israel-restored,Old Testament,1 Samuel,4,1 Samuel 4; 1 Samuel 5; 1 Samuel 6; 1 Samuel 7,0,0,0,0,false,false,false,false
1-samuel-8-10-israel-asks-for-a-king-and-saul-is-anointed,Old Testament,1 Samuel,8,1 Samuel 8; 1 Samuel 9; 1 Samuel 10,0,0,0,0,false,false,false,false
1-samuel-general-introduction,Old Testament,1 Samuel,1,1 Samuel,1,0,1,1,false,false,true,false
2-chronicles-01-solomon-asks-for-wisdom,Old Testament,2 Chronicles,1,2 Chronicles 1,0,0,0,0,false,false,false,false
2-chronicles-02-solomon-prepares-to-build-the-temple,Old Testament,2 Chronicles,2,2 Chronicles 2,0,0,0,0,false,false,false,false
2-chronicles-03-04-the-temple-built-and-furnished,Old Testament,2 Chronicles,3,2 Chronicles 3; 2 Chronicles 4,0,0,0,0,false,false,false,false
2-chronicles-05-07-dedication-of-the-temple,Old Testament,2 Chronicles,5,2 Chronicles 5; 2 Chronicles 6; 2 Chronicles 7,0,0,0,0,false,false,false,false
2-chronicles-08-solomon-organizes-the-kingdom-and-worship,Old Testament,2 Chronicles,8,2 Chronicles 8,0,0,0,0,false,false,false,false
2-chronicles-09-solomon-and-the-queen-of-sheba,Old Testament,2 Chronicles,9,2 Chronicles 9,0,0,0,0,false,false,false,false
2-chronicles-10-the-kingdom-divides,Old Testament,2 Chronicles,10,2 Chronicles 10,0,0,0,0,false,false,false,false
2-chronicles-11-12-rehoboam-humbled,Old Testament,2 Chronicles,11,2 Chronicles 11; 2 Chronicles 12,0,0,0,0,false,false,false,false
2-chronicles-13-abijah-and-jeroboam,Old Testament,2 Chronicles,13,2 Chronicles 13,0,0,0,0,false,false,false,false
2-chronicles-14-16-asa-reform-reliance-and-decline,Old Testament,2 Chronicles,14,2 Chronicles 14; 2 Chronicles 15; 2 Chronicles 16,0,0,0,0,false,false,false,false
2-chronicles-17-20-jehoshaphat-teaching-danger-prayer-and-deliverance,Old Testament,2 Chronicles,17,2 Chronicles 17; 2 Chronicles 18; 2 Chronicles 19; 2 Chronicles 20,0,0,0,0,false,false,false,false
2-chronicles-21-22-jehoram-ahaziah-and-athaliah,Old Testament,2 Chronicles,21,2 Chronicles 21; 2 Chronicles 22,0,0,0,0,false,false,false,false
2-chronicles-23-joash-crowned-and-athaliah-overthrown,Old Testament,2 Chronicles,23,2 Chronicles 23,0,0,0,0,false,false,false,false
2-chronicles-24-joash-repairs-the-temple-then-falls-away,Old Testament,2 Chronicles,24,2 Chronicles 24,0,0,0,0,false,false,false,false
2-chronicles-25-amaziah-partial-obedience-and-pride,Old Testament,2 Chronicles,25,2 Chronicles 25,0,0,0,0,false,false,false,false
2-chronicles-26-uzziah-strength-without-humility,Old Testament,2 Chronicles,26,2 Chronicles 26,0,0,0,0,false,false,false,false
2-chronicles-27-jotham-steady-faithfulness,Old Testament,2 Chronicles,27,2 Chronicles 27,0,0,0,0,false,false,false,false
2-chronicles-28-ahaz-false-worship-and-political-fear,Old Testament,2 Chronicles,28,2 Chronicles 28,0,0,0,0,false,false,false,false
2-chronicles-29-31-hezekiah-restores-worship,Old Testament,2 Chronicles,29,2 Chronicles 29; 2 Chronicles 30; 2 Chronicles 31,0,0,0,0,false,false,false,false
2-chronicles-32-hezekiah-and-sennacherib,Old Testament,2 Chronicles,32,2 Chronicles 32,0,0,0,0,false,false,false,false
2-chronicles-33-manasseh-and-amon,Old Testament,2 Chronicles,33,2 Chronicles 33,0,0,0,0,false,false,false,false
2-chronicles-34-35-josiah-law-covenant-and-passover,Old Testament,2 Chronicles,34,2 Chronicles 34; 2 Chronicles 35,0,0,0,0,false,false,false,false
2-chronicles-36-fall-exile-and-cyrus,Old Testament,2 Chronicles,36,2 Chronicles 36,0,0,0,0,false,false,false,false
2-kings-01-ahaziah-and-the-fire-of-judgment,Old Testament,2 Kings,1,2 Kings 1,0,0,0,0,false,false,false,false
2-kings-02-elijah-s-ascent-and-elisha-s-inheritance,Old Testament,2 Kings,2,2 Kings 2,0,0,0,0,false,false,false,false
2-kings-03-compromised-alliances-and-water-in-the-wilderness,Old Testament,2 Kings,3,2 Kings 3,0,0,0,0,false,false,false,false
2-kings-04-elisha-s-miracles-of-life-and-provision,Old Testament,2 Kings,4,2 Kings 4,1,0,1,1,false,false,true,false
2-kings-05-naaman-the-syrian,Old Testament,2 Kings,5,2 Kings 5,1,0,1,1,false,false,true,false
2-kings-06-07-spiritual-sight-siege-and-unexpected-deliverance,Old Testament,2 Kings,6,2 Kings 6; 2 Kings 7,1,0,1,1,false,false,true,false
2-kings-08-restoration-judgment-and-the-shadow-over-kings,Old Testament,2 Kings,8,2 Kings 8,0,0,0,0,false,false,false,false
2-kings-09-10-jehu-judgment-and-zeal-without-a-clean-heart,Old Testament,2 Kings,9,2 Kings 9; 2 Kings 10,0,0,0,0,false,false,false,false
2-kings-11-athaliah-joash-and-the-hidden-king,Old Testament,2 Kings,11,2 Kings 11,0,0,0,0,false,false,false,false
2-kings-12-joash-repairs-the-temple,Old Testament,2 Kings,12,2 Kings 12,0,0,0,0,false,false,false,false
2-kings-13-elisha-s-death-and-final-sign,Old Testament,2 Kings,13,2 Kings 13,0,0,0,0,false,false,false,false
2-kings-14-15-partial-strength-and-political-collapse,Old Testament,2 Kings,14,2 Kings 14; 2 Kings 15,0,0,0,0,false,false,false,false
2-kings-16-ahaz-and-the-imported-altar,Old Testament,2 Kings,16,2 Kings 16,0,0,0,0,false,false,false,false
2-kings-17-the-fall-of-israel-and-the-theology-of-exile,Old Testament,2 Kings,17,2 Kings 17,0,0,0,0,false,false,false,false
2-kings-18-19-hezekiah-sennacherib-and-the-prayer-of-faith,Old Testament,2 Kings,18,2 Kings 18; 2 Kings 19,0,0,0,0,false,false,false,false
2-kings-20-hezekiah-s-illness-and-babylonian-envoys,Old Testament,2 Kings,20,2 Kings 20,0,0,0,0,false,false,false,false
2-kings-21-manasseh-amon-and-catastrophic-idolatry,Old Testament,2 Kings,21,2 Kings 21,0,0,0,0,false,false,false,false
2-kings-22-23-josiah-the-book-of-the-law-and-covenant-renewal,Old Testament,2 Kings,22,2 Kings 22; 2 Kings 23,0,0,0,0,false,false,false,false
2-kings-24-25-the-fall-of-jerusalem-and-a-sign-of-mercy,Old Testament,2 Kings,24,2 Kings 24; 2 Kings 25,0,0,0,0,false,false,false,false
2-maccabees-1-letters-dedication-and-memory-in-trouble,Deuterocanonical,2 Maccabees,1,2 Maccabees 1,0,0,0,0,false,false,false,false
2-maccabees-10-cleansing-dedication-and-joy-restored,Deuterocanonical,2 Maccabees,10,2 Maccabees 10,0,0,0,0,false,false,false,false
2-maccabees-11-mercy-letters-and-fragile-peace,Deuterocanonical,2 Maccabees,11,2 Maccabees 11,0,0,0,0,false,false,false,false
2-maccabees-12-victory-sin-and-prayer-for-the-departed,Deuterocanonical,2 Maccabees,12,2 Maccabees 12,0,0,0,0,false,false,false,false
2-maccabees-13-bethsura-prayer-and-deliverance-under-siege,Deuterocanonical,2 Maccabees,13,2 Maccabees 13,0,0,0,0,false,false,false,false
2-maccabees-14-alcimus-nicanor-and-razis,Deuterocanonical,2 Maccabees,14,2 Maccabees 14,0,0,0,0,false,false,false,false
2-maccabees-15-onias-jeremiah-and-the-defeat-of-nicanor,Deuterocanonical,2 Maccabees,15,2 Maccabees 15,0,0,0,0,false,false,false,false
2-maccabees-2-gathering-hidden-fire-and-holy-memory,Deuterocanonical,2 Maccabees,2,2 Maccabees 2,0,0,0,0,false,false,false,false
2-maccabees-3-heliodorus-and-the-sanctity-of-the-temple,Deuterocanonical,2 Maccabees,3,2 Maccabees 3,0,0,0,0,false,false,false,false
2-maccabees-4-jason-menelaus-and-the-corruption-of-holy-office,Deuterocanonical,2 Maccabees,4,2 Maccabees 4,0,0,0,0,false,false,false,false
2-maccabees-5-antiochus-violence-and-the-wounded-holy-city,Deuterocanonical,2 Maccabees,5,2 Maccabees 5,0,0,0,0,false,false,false,false
2-maccabees-6-eleazar-and-holy-refusal,Deuterocanonical,2 Maccabees,6,2 Maccabees 6,0,0,0,0,false,false,false,false
2-maccabees-7-the-seven-brothers-their-mother-and-resurrection-hope,Deuterocanonical,2 Maccabees,7,2 Maccabees 7,0,0,0,0,false,false,false,false
2-maccabees-8-judas-prayer-and-courage-from-god,Deuterocanonical,2 Maccabees,8,2 Maccabees 8,0,0,0,0,false,false,false,false
2-maccabees-9-antiochus-humbled-and-the-limits-of-blasphemous-power,Deuterocanonical,2 Maccabees,9,2 Maccabees 9,0,0,0,0,false,false,false,false
2-samuel-1-david-laments-saul-and-jonathan,Old Testament,2 Samuel,1,2 Samuel 1,0,0,0,0,false,false,false,false
2-samuel-11-12-david-s-fall-nathan-s-rebuke-and-repentance,Old Testament,2 Samuel,11,2 Samuel 11; 2 Samuel 12,0,0,0,0,false,false,false,false
2-samuel-13-14-sin-in-the-house-and-absalom-s-return,Old Testament,2 Samuel,13,2 Samuel 13; 2 Samuel 14,0,0,0,0,false,false,false,false
2-samuel-15-16-absalom-s-revolt-and-david-s-humiliation,Old Testament,2 Samuel,15,2 Samuel 15; 2 Samuel 16,0,0,0,0,false,false,false,false
2-samuel-17-18-counsel-battle-and-absalom-s-death,Old Testament,2 Samuel,17,2 Samuel 17; 2 Samuel 18,0,0,0,0,false,false,false,false
2-samuel-19-20-david-returns-to-a-fractured-kingdom,Old Testament,2 Samuel,19,2 Samuel 19; 2 Samuel 20,0,0,0,0,false,false,false,false
2-samuel-2-4-a-divided-kingdom-and-the-cost-of-ambition,Old Testament,2 Samuel,2,2 Samuel 2; 2 Samuel 3; 2 Samuel 4,0,0,0,0,false,false,false,false
2-samuel-21-famine-gibeonites-and-hard-justice,Old Testament,2 Samuel,21,2 Samuel 21,0,0,0,0,false,false,false,false
2-samuel-22-david-s-song-of-deliverance,Old Testament,2 Samuel,22,2 Samuel 22,0,0,0,0,false,false,false,false
2-samuel-23-last-words-and-mighty-men,Old Testament,2 Samuel,23,2 Samuel 23,0,0,0,0,false,false,false,false
2-samuel-24-census-plague-and-the-altar-of-mercy,Old Testament,2 Samuel,24,2 Samuel 24,0,0,0,0,false,false,false,false
2-samuel-5-david-anointed-king-and-jerusalem-taken,Old Testament,2 Samuel,5,2 Samuel 5,0,0,0,0,false,false,false,false
2-samuel-6-the-ark-comes-to-zion,Old Testament,2 Samuel,6,2 Samuel 6,0,0,0,0,false,false,false,false
2-samuel-7-the-covenant-of-the-house-and-the-son,Old Testament,2 Samuel,7,2 Samuel 7,0,0,0,0,false,false,false,false
2-samuel-8-10-victory-mercy-and-the-seeds-of-war,Old Testament,2 Samuel,8,2 Samuel 8; 2 Samuel 9; 2 Samuel 10,0,0,0,0,false,false,false,false
2-samuel-general-introduction,Old Testament,2 Samuel,2,2 Samuel,0,0,0,0,false,false,false,false
3-maccabees-1-ptolemy-jerusalem-and-the-holy-place,Deuterocanonical,3 Maccabees,1,3 Maccabees 1,0,0,0,0,false,false,false,false
3-maccabees-2-simon-s-prayer-and-god-s-defense-of-the-temple,Deuterocanonical,3 Maccabees,2,3 Maccabees 2,0,0,0,0,false,false,false,false
3-maccabees-3-diaspora-faithfulness-under-suspicion,Deuterocanonical,3 Maccabees,3,3 Maccabees 3,0,0,0,0,false,false,false,false
3-maccabees-4-gathering-humiliation-and-hidden-providence,Deuterocanonical,3 Maccabees,4,3 Maccabees 4,0,0,0,0,false,false,false,false
3-maccabees-5-rage-delayed-by-providence,Deuterocanonical,3 Maccabees,5,3 Maccabees 5,0,0,0,0,false,false,false,false
3-maccabees-6-eleazar-s-prayer-and-angelic-deliverance,Deuterocanonical,3 Maccabees,6,3 Maccabees 6,0,0,0,0,false,false,false,false
3-maccabees-7-thanksgiving-judgment-and-sacred-memory,Deuterocanonical,3 Maccabees,7,3 Maccabees 7,0,0,0,0,false,false,false,false
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,17,2,2,16,false,true,false,false
amos-1-2-judgment-begins-around-and-comes-home,Old Testament,Amos,1,Amos 1; Amos 2,0,0,0,0,false,false,false,false
amos-3-4-covenant-accountability,Old Testament,Amos,3,Amos 3; Amos 4,2,0,1,1,true,false,true,true
amos-5-seek-me-and-live,Old Testament,Amos,5,Amos 5,3,0,1,1,true,false,true,true
amos-6-woe-to-those-at-ease,Old Testament,Amos,6,Amos 6,0,0,0,0,false,false,false,false
amos-7-8-visions-and-famine-of-the-word,Old Testament,Amos,7,Amos 7; Amos 8,1,0,1,1,true,false,true,false
amos-9-sifted-people-and-restored-booth-of-david,Old Testament,Amos,9,Amos 9,1,0,1,1,true,false,true,true
amos-general-introduction,Old Testament,Amos,1,Amos; Amos 1:1-2,0,0,0,0,false,false,false,false
baruch-1-2-confession-in-exile,Deuterocanonical,Baruch,1,Baruch 1; Baruch 2,1,0,1,1,true,false,true,false
baruch-3-4-wisdom-and-return,Deuterocanonical,Baruch,3,Baruch 3; Baruch 4,0,0,0,0,false,false,false,false
baruch-5-put-on-the-beauty-of-glory,Deuterocanonical,Baruch,5,Baruch 5,0,0,0,0,false,false,false,false
baruch-overview,Deuterocanonical,Baruch,1-5,Baruch 1-5,1,0,1,1,true,false,true,false
daniel-1-holy-refusal-in-babylon,Old Testament,Daniel,1,Daniel 1,1,0,1,1,false,false,true,false
daniel-10-12-final-vision-and-resurrection-hope,Old Testament,Daniel,10,Daniel 10; Daniel 11; Daniel 12,0,0,0,0,false,false,false,false
daniel-2-the-stone-cut-without-hands,Old Testament,Daniel,2,Daniel 2,0,0,0,0,false,false,false,false
daniel-3-the-fiery-furnace-and-the-three-holy-youths,Old Testament,Daniel,3,Daniel 3,1,0,1,1,true,false,true,false
daniel-4-the-humbled-tree,Old Testament,Daniel,4,Daniel 4,0,0,0,0,false,false,false,false
daniel-5-the-writing-on-the-wall,Old Testament,Daniel,5,Daniel 5,0,0,0,0,false,false,false,false
daniel-6-daniel-in-the-lions-den,Old Testament,Daniel,6,Daniel 6,1,0,1,1,false,false,true,false
daniel-7-ancient-of-days-and-the-son-of-man,Old Testament,Daniel,7,Daniel 7,1,0,1,1,true,false,true,true
daniel-8-ram-goat-and-the-little-horn,Old Testament,Daniel,8,Daniel 8,0,0,0,0,false,false,false,false
daniel-9-confession-and-the-seventy-weeks,Old Testament,Daniel,9,Daniel 9,1,0,1,1,true,false,true,false
deuteronomy-1-3-remembering-the-wilderness-and-the-edge-of-promise,Old Testament,Deuteronomy,1,Deuteronomy 1; Deuteronomy 2; Deuteronomy 3,0,0,0,0,false,false,false,false
deuteronomy-11-love-obedience-blessing-and-curse,Old Testament,Deuteronomy,11,Deuteronomy 11,1,0,1,1,false,false,true,false
deuteronomy-12-the-place-where-the-lord-chooses-to-dwell,Old Testament,Deuteronomy,12,Deuteronomy 12,1,0,1,1,false,false,true,false
deuteronomy-13-false-prophets-and-the-testing-of-love,Old Testament,Deuteronomy,13,Deuteronomy 13,0,0,0,0,false,false,false,false
deuteronomy-14-holy-distinction-tithes-and-mercy,Old Testament,Deuteronomy,14,Deuteronomy 14,0,0,0,0,false,false,false,false
deuteronomy-15-release-generosity-and-the-open-hand,Old Testament,Deuteronomy,15,Deuteronomy 15,0,0,0,0,false,false,false,false
deuteronomy-16-feasts-justice-and-the-joy-of-worship,Old Testament,Deuteronomy,16,Deuteronomy 16,1,0,1,1,false,true,true,false
deuteronomy-17-judgment-kingship-and-the-law-beside-the-throne,Old Testament,Deuteronomy,17,Deuteronomy 17,0,0,0,0,false,false,false,false
deuteronomy-18-priests-levites-and-the-prophet-like-moses,Old Testament,Deuteronomy,18,Deuteronomy 18,0,0,0,0,false,false,false,false
deuteronomy-19-cities-of-refuge-and-truthful-witness,Old Testament,Deuteronomy,19,Deuteronomy 19,0,0,0,0,false,false,false,false
deuteronomy-20-war-fear-and-trust-in-the-lord,Old Testament,Deuteronomy,20,Deuteronomy 20,0,0,0,0,false,false,false,false
deuteronomy-21-22-covenant-life-household-order-and-human-dignity,Old Testament,Deuteronomy,21,Deuteronomy 21; Deuteronomy 22,0,0,0,0,false,false,false,false
deuteronomy-23-24-camp-holiness-social-mercy-and-hidden-justice,Old Testament,Deuteronomy,23,Deuteronomy 23; Deuteronomy 24,0,0,0,0,false,false,false,false
deuteronomy-25-justice-levirate-mercy-and-amalek-remembered,Old Testament,Deuteronomy,25,Deuteronomy 25,0,0,0,0,false,false,false,false
deuteronomy-26-firstfruits-tithes-and-covenant-confession,Old Testament,Deuteronomy,26,Deuteronomy 26,0,0,0,0,false,false,false,false
deuteronomy-27-28-covenant-stones-blessings-and-curses,Old Testament,Deuteronomy,27,Deuteronomy 27; Deuteronomy 28,0,0,0,0,false,false,false,false
deuteronomy-29-30-covenant-renewal-and-choose-life,Old Testament,Deuteronomy,29,Deuteronomy 29; Deuteronomy 30,0,0,0,0,false,false,false,false
deuteronomy-31-joshua-the-law-and-the-nearness-of-departure,Old Testament,Deuteronomy,31,Deuteronomy 31,0,0,0,0,false,false,false,false
deuteronomy-32-the-song-of-moses,Old Testament,Deuteronomy,32,Deuteronomy 32,1,0,1,1,true,false,true,false
deuteronomy-33-the-blessing-of-moses,Old Testament,Deuteronomy,33,Deuteronomy 33,0,0,0,0,false,false,false,false
deuteronomy-34-the-death-of-moses-and-the-hope-beyond-the-mountain,Old Testament,Deuteronomy,34,Deuteronomy 34,0,0,0,0,false,false,false,false
deuteronomy-4-take-heed-to-yourself,Old Testament,Deuteronomy,4,Deuteronomy 4,0,0,0,0,false,false,false,false
deuteronomy-5-the-covenant-at-horeb-and-the-ten-words,Old Testament,Deuteronomy,5,Deuteronomy 5,2,0,2,1,false,true,true,false
deuteronomy-6-the-shema-and-the-love-of-god,Old Testament,Deuteronomy,6,Deuteronomy 6,2,0,2,1,false,true,true,false
deuteronomy-7-a-holy-people-and-a-jealous-love,Old Testament,Deuteronomy,7,Deuteronomy 7,1,0,1,1,false,false,true,false
deuteronomy-8-remembering-the-lord-in-the-land-of-plenty,Old Testament,Deuteronomy,8,Deuteronomy 8,3,0,2,1,true,false,true,true
deuteronomy-9-10-stubbornness-intercession-and-the-circumcised-heart,Old Testament,Deuteronomy,9,Deuteronomy 9; Deuteronomy 10,2,0,2,1,true,false,true,false
ecclesiastes-1-1-11-vanity-of-vanities-and-the-weariness-under-the-sun,Old Testament,Ecclesiastes,1,Ecclesiastes 1,0,0,0,0,false,false,false,false
ecclesiastes-1-12-2-26-wisdom-pleasure-wealth-and-the-king-s-experiment,Old Testament,Ecclesiastes,1,Ecclesiastes 1,0,0,0,0,false,false,false,false
ecclesiastes-10-folly-in-public-life-and-the-weight-of-words,Old Testament,Ecclesiastes,10,Ecclesiastes 10,0,0,0,0,false,false,false,false
ecclesiastes-11-risk-generosity-and-sowing-before-the-unknown,Old Testament,Ecclesiastes,11,Ecclesiastes 11,0,0,0,0,false,false,false,false
